IoU_threshold,Binary,Age-weighted 5min,Age-weighted 10min,Ternary 5min,Ternary 10min
0.25,0.5787,0.6658,0.6291,0.6928,0.6565
0.30,0.5415,0.6359,0.5996,0.6553,0.6202
0.35,0.4947,0.5950,0.5611,0.6135,0.5810
0.40,0.4402,0.5349,0.5105,0.5522,0.5305
0.45,0.3785,0.4682,0.4429,0.4786,0.4645
0.50,0.3106,0.3858,0.3655,0.4007,0.3870
0.55,0.2365,0.3065,0.2846,0.3151,0.3034
0.60,0.1664,0.2168,0.2041,0.2231,0.2166
0.65,0.1042,0.1414,0.1309,0.1428,0.1373
0.70,0.0531,0.0731,0.0715,0.0754,0.0766
0.75,0.0242,0.0336,0.0329,0.0344,0.0334
